,bean_country,cocoa_percent,ingredient_combination,memorable_characteristics,rating,total_ingredients
139,Madagascar,0.7,BSC,sour fruit,3.5,3
140,Vietnam,0.73,BSC,"rich cocoa,mild roast",3.5,3
141,Peru,0.7,BSC,"dried fruit,fig,anise",3.5,3
142,Colombia,0.7,BS,"smooth,nut,cocoa",4.0,2
143,Trinidad and Tobago,0.7,BS,"nut,dried fruit,short",3.0,2
144,India,0.7,BSC,"herb,mushroom,acidic",3.25,3
145,India,0.7,BSC,"burnt butterscotch,rubber",3.0,3
146,Nicaragua,0.7,BS,"smooth,vegetal",3.5,2
147,Nicaragua,0.7,BS,"roast,rich cocoa",3.5,2
148,Nicaragua,0.7,BS,"melon,late ham",3.25,2
149,Nicaragua,0.7,BS,"cocoa,earth,ham",3.0,2
150,Republic of the Congo,0.72,BSC,"spicy,mint,vegetal",3.75,3
151,Dominican Republic,0.72,BSC,"spice,cocoa,short",3.25,3
152,Madagascar,0.8,BSC,"slight bitter,cherry,rich",3.0,3
153,Peru,0.75,BSC,"spice,mild metal",3.0,3
154,Indonesia,0.72,BSC,"gritty,very smoke,sour",2.75,3
155,Venezuela,0.75,BSC,"oily,nut,burnt,sour",2.5,3
156,Brazil,0.72,BSC,"cocoa,dominant off note",1.75,3
157,Jamaica,0.72,BSC,"grass,black licorice,mint",3.75,3
158,Indonesia,0.72,BSC,"black pepper,banana",3.5,3
159,Costa Rica,0.72,BSC,"chewy,grass,nut",3.25,3
160,Vietnam,0.72,BSC,"unrefined,distinct spice",3.25,3
162,Haiti,0.72,BSC,"nut,butterscotch,brownie",4.0,3
163,Panama,0.72,BSC,"black pepper,chemical,rubber",2.75,3
164,Colombia,0.72,BSC,"marshmallow,roast,nut",3.75,3
165,Trinidad and Tobago,0.72,BSC,"gritty,nut",3.25,3
166,Colombia,0.72,BSCL,"creamy,marshmallow,off",2.75,4
167,Ecuador,0.7,BS,"smooth,astringent,cocoa",3.0,2
168,Mexico,0.75,BS,"leather,black licorice,off",2.5,2
169,Philippines,0.77,BS,"strawberry,mild tart,roast",3.75,2
170,Tanzania,0.72,BS,"creamy,wood,cocoa",3.75,2
171,Honduras,0.7,BS,"grape,wood,roast",3.75,2
172,Tanzania,0.68,BSC,"creamy,rich,blueberry",3.75,3
173,Solomon Islands,0.7,BSCL,"off aroma,vegetal,honey,sandy",3.0,4
174,Philippines,0.7,BSC,"long,bright fruit,sweet,sour",3.5,3
175,Philippines,0.7,BSC,"waxy,dried fruit",3.0,3
176,Philippines,0.7,BSC,"sandy,roast,nut",3.0,3
177,Philippines,0.77,BSVL,"sandy,vanilla",2.75,4
178,Madagascar,0.7,BS,"unrefined,flat,grass",3.0,2
179,Brazil,0.7,BS,"chalky,intense,chemical",2.5,2
180,Multiple Countries,0.7,BS,"chalky,fragrant,then off",2.5,2
181,Papua New Guinea,0.7,BS,"smoke,ham,papaya",3.5,2
182,Multiple Countries,0.8,BS,"coarse,smoke,metal",3.25,2
183,Brazil,0.7,BS,"bland,sugar,large grits",3.0,2
184,Peru,0.7,BSC,"black pepper,cardamom",3.5,3
185,Peru,0.7,BSC,"molasses,caramel,pungent",2.75,3
186,Tanzania,0.72,BSC,"base cocoa,mild fruit,roast",3.25,3
187,Uganda,0.82,BSC,"bitter,fatty,mild fruit",2.75,3
188,Belize,0.72,BSC,"gritty,fatty,sour,off",2.5,3
189,Madagascar,0.7,BS,"raspberry,mild sour",3.75,2
190,Mexico,0.7,BS,"molasses,toffee,coffee grounds",3.5,2
191,Dominican Republic,0.7,BS,"complex,black pepper,coffee",3.25,2
192,Peru,0.7,BS,"creamy,rounded,orange",4.0,2
193,Brazil,0.7,BS,"intense,smoke,dried fruit",3.5,2
194,Costa Rica,0.72,BS,"slight dry,cocoa,berry",3.5,2
195,Trinidad and Tobago,0.8,BS,"intense,tang,alcohol",3.5,2
196,Costa Rica,0.8,BSCV,"gritty,floral,vanilla",2.75,4
197,Brazil,0.7,BSC,"strawberry,candy flavor",3.75,3
198,Dominican Republic,0.65,BSC,"creamy,sweet,fudge",3.5,3
199,Ecuador,0.65,BSC,"sandy,floral,sweet",3.25,3
200,Peru,0.7,BSCV,"strong vanilla,off note",2.25,4
201,Malaysia,0.72,BSC,"smoke,wood,tobacco",3.25,3
202,Malaysia,0.73,BSC,"caramel,spice,earth",3.0,3
203,Brazil,0.8,BSC,"intense,bitter,dry",2.75,3
204,Dominican Republic,0.7,BSC,"sandy,sweet,molasses",2.75,3
205,Ecuador,0.7,BSC,"intense,floral,black pepper",2.75,3
206,Ecuador,0.9,BSC,"intense floral,bitter,earth",2.75,3
207,Ecuador,0.71,BSCL,"dry,cinnamon,nutmeg",3.5,4
208,Costa Rica,0.64,BSCL,"pasty,nut",2.75,4
209,Papua New Guinea,0.64,BSCL,"intense,smoke",2.75,4
210,Peru,0.64,BSCL,"sticky,moss,nut",2.75,4
211,Tanzania,0.7,BSC,"sticky,delicate,melon",3.5,3
212,Dominican Republic,0.7,BS,"caramel,mild dried fruit",3.5,2
213,Bolivia,0.7,BSC,"oily,complex,pungent",3.25,3
214,Vietnam,0.75,BSC,"high acidity,nut,roast",3.25,3
215,Belize,0.83,BSC,"balanced,complex,berry",3.5,3
216,Belize,0.78,BSC,"sweet,nibs,green",3.0,3
217,Belize,0.83,BSC,"unbalanced,tang,pungent",2.75,3
218,Vietnam,0.72,BSCL,"gummy,roast,fatty",3.0,4
219,India,0.72,BSCL,"gummy,fatty,sour",3.0,4
220,Malaysia,0.72,BSCL,"off aroma,smoke,off note",3.0,4
221,Indonesia,0.72,BSC,"smoke,raspberry,cocoa",4.0,3
222,Madagascar,0.72,BSC,"intense,red berry,strawberry",3.75,3
223,Ecuador,0.73,BSC,"cinnamon,nutmeg",4.0,3
224,Cuba,0.74,BSC,"tobacco,dairy,sour",3.5,3
225,Venezuela,0.74,BSC,"mocha,intense,sweet",3.5,3
226,Venezuela,0.74,BSC,"nut,roast,dairy",3.5,3
227,Multiple Countries,0.55,BSCVL,"sweet,vanilla,cocoa",2.75,5
228,Indonesia,0.64,BSC,"ham,smoke,banana",3.5,3
229,Venezuela,0.72,BSC,"dark cocoa,spicy pepper",3.5,3
230,Venezuela,0.7,BSC,"creamy,macadamia,pepper",3.25,3
231,Venezuela,0.74,BSC,"nut,light toffee,mild musty",3.25,3
232,Ecuador,0.72,BSC,"creamy,nut,cocoa",4.0,3
233,Venezuela,0.72,BSC,"creamy,banana,rich",3.5,3
234,Madagascar,0.64,BSC,"chunky,nut,banana",3.0,3
235,Venezuela,0.88,BSC,"bitter then nut rustic,earth",3.0,3
236,Belize,0.86,BSCV,"mild bitter,diluted,vanilla",3.25,4
237,Nicaragua,0.76,BS,"bitter,molasses,flour",2.5,2
238,Costa Rica,0.76,BS,"molasses,metal,earth",2.5,2
239,Costa Rica,0.78,BSCV,"sour,tart,molasses",2.5,4
240,Venezuela,0.7,BSCL,"smooth texture,earth,nut",3.5,4
241,Venezuela,0.7,BSCL,"gritty,spicy,earth",3.0,4
242,Venezuela,0.7,BSCL,"fatty,bland,nut",3.0,4
243,Dominican Republic,0.68,BS,"nut,astringent",3.75,2
244,Panama,0.75,BS,"intense,rum,tea",3.5,2
245,Madagascar,0.71,BS,"rich cocoa,red berry,sour",3.0,2
246,Ghana,0.7,BS,"nutmeg,sour",3.0,2
247,Dominican Republic,0.65,BS,"intense marshmallow,cocoa",3.5,2
248,Madagascar,0.65,BS,chocolate covered cherry,3.5,2
249,Madagascar,0.75,BS,"rustic,red berry,wood",3.25,2
250,Dominican Republic,0.75,BS,"chalky,strong,harsh smoke",3.0,2
251,Multiple Countries,0.7,BS,"robust,cocoa,fruit",3.75,2
252,Indonesia,0.75,BS,"dry,cardamom,medicinal",3.25,2
253,Madagascar,0.7,BS,"red berry,strong wine,sour",3.0,2
254,Venezuela,0.78,BS,"nut,mild bitter",3.0,2
255,Indonesia,0.65,BS,"pasty,off spice,nut",2.75,2
256,Ghana,0.72,BSC,"roasted nut,rich,roast",3.5,3
257,Dominican Republic,0.7,BS,"sweet,sour milk",3.25,2
258,Haiti,0.7,BS,"floral,molasses,chemical",3.0,2
259,Guatemala,0.7,BS,"molasses,earth,spicy",3.0,2
260,Belize,0.7,BS,"off,rubber,burnt molasses",2.75,2
261,Nicaragua,0.7,BSC,"rich,leather,woodsy",3.0,3
262,Dominican Republic,0.7,BSC,"unrefined,fruit",2.75,3
263,Venezuela,0.7,BSC,"sweet grass,muted spice",2.75,3
264,Jamaica,0.7,BSCL,"fatty,nut",2.75,4
265,Multiple Countries,0.72,BSCV,"oily,flat,wood,sour",2.75,4
266,Republic of the Congo,0.82,BSCV,"complex,fruit,mild bitter",3.5,4
267,Madagascar,0.7,BSC,"gritty,tart red berry,powerful",3.75,3
268,Guatemala,0.7,BSC,"chewy,complex,black pepper",3.5,3
269,Madagascar,0.82,BS,"sandy,tart,sour,sweet",3.5,2
270,Tanzania,0.75,BS,"bread,melon",3.5,2
271,Dominican Republic,0.75,BS,"astringent,sour,coffee",3.0,2
272,Guatemala,0.75,BS,"roast,coffee,earth",2.75,2
273,Belize,0.7,BSC,pungent off flavor,2.75,3
274,Malaysia,0.74,BS,"grass,savory,sour",3.25,2
275,Malaysia,0.72,BS,"sweet,fruit,chemical off note",2.75,2
276,Malaysia,0.68,BS,"sweet,dirt,off note",2.5,2
277,Venezuela,0.75,BSC,"creamy,fatty,floral",4.0,3
278,Venezuela,0.75,BSC,"creamy,coconut,tang",4.0,3
279,Multiple Countries,0.75,BSC,"spice,woodsy,long lasting",3.75,3
280,Venezuela,0.75,BSC,"sandy,creamy,berry",3.75,3
281,Madagascar,0.75,BSC,"mellow,tart,coffee",3.75,3
282,Sri Lanka,0.75,BSC,"vegetal,dominant tobacco",3.0,3
284,Ecuador,0.75,BSC,"dry,floral,bitter",2.5,3
285,Venezuela,0.75,BSC,"creamy,strawberry,nut",4.0,3
286,Côte d’Ivoire (aka Ivory Coast),0.75,BSC,"oily,intense cocoa,slight burnt",3.0,3
287,Mexico,0.75,BSC,"mild bitter,nut,possible mold",3.0,3
288,Mexico,0.75,BSC,"fatty,roast,earth",3.0,3
289,Peru,0.75,BSC,"flat,bread,earth",2.75,3
290,Haiti,0.75,BSC,"grass,black pepper",4.0,3
291,Madagascar,0.75,BSC,"fatty,spicy,gentle roast",4.0,3
292,Brazil,0.75,BSC,"chunky,very grass,mild mint",3.75,3
293,Cuba,0.75,BSC,"fatty,raisin,grape",3.5,3
294,Peru,0.75,BSC,"roast,wood,mint",3.5,3
295,Peru,0.75,BSC,"creamy,cocoa,smoke",3.5,3
296,Brazil,0.75,BSC,"oily,fatty,rich,nut",3.5,3
297,Jamaica,0.75,BSC,"oily,creamy,wood",3.25,3
298,Brazil,0.75,BSC,"oily,roasted nut,rich cocoa",3.5,3
299,Gabon,0.75,BSC,"fatty,roast,black pepper",3.25,3
300,Brazil,0.75,BSC,"creamy,homey,nut",4.0,3
301,Multiple Countries,0.65,BSC,"complex,brownie,mint,spice",3.75,3
302,Dominican Republic,0.75,BSC,"roast,tobacco,earth",3.25,3
303,Mexico,0.75,BSC,"heavy roast,fatty,gateway",3.5,3
304,Peru,0.75,BSC,"oily,subtle,mild coffee",4.0,3
305,Multiple Countries,0.75,BSC,"creamy,rich,complex",4.0,3
306,Ecuador,0.77,BS,"sticky,lavender,molasses",3.25,2
310,Peru,0.7,BSC,"sweet,rich mocha,acidic",3.75,3
311,Ecuador,0.75,BSC,"balanced,floral,honey",3.5,3
312,Tanzania,0.62,BSC,"very sweet,melon,caramel",3.0,3
313,Ghana,0.75,BSCVL,"fatty,brownie,nut",3.5,5
314,Venezuela,0.85,BSCVL,"intense,cooked banana",3.5,5
315,Ecuador,0.7,BSCVL,"intense,alcohol,floral",3.25,5
316,Dominican Republic,0.72,BSCVL,"oily,vanilla,caramel,dairy",3.0,5
317,Venezuela,0.7,BSC,"intense,raisin,roast",4.0,3
318,Belize,0.7,BSC,"intense,cocoa,complex",3.75,3
319,Dominican Republic,0.68,BSC,"complex,brownie,lime,rich",3.75,3
320,Nicaragua,0.7,BSC,"simple,rich cocoa",3.75,3
321,Venezuela,0.7,BSC,"nut,slight ham,rich",3.5,3
322,Ecuador,0.75,BSC,"sandy,floral,honey",3.75,3
323,Dominican Republic,0.7,BSC,"earth,cherry",3.25,3
324,Bolivia,0.7,BSC,"nut,fruit",4.0,3
325,Guatemala,0.7,BS,"tart,tea,leather,sour",3.5,2
326,Dominican Republic,0.8,BSC,"bitter,dark berry,fatty",3.25,3
327,Belize,0.8,BSC,"mild smoke,raisin,coffee",3.25,3
328,Madagascar,0.6,BSC,"citrus,sweet,cocoa",3.25,3
329,Dominican Republic,0.6,BSC,"roast,sweet,brownie",3.0,3
330,Madagascar,0.8,BSC,"bitter,tart,acidic",2.75,3
331,Jamaica,0.7,BSCV,"chalky,sandy,tart,bland",3.0,4
332,Dominican Republic,0.7,BSC,"spicy,black pepper,banana",3.5,3
333,Ecuador,0.72,BSC,"floral,banana",3.5,3
334,Madagascar,0.72,BSC,"sweet,mild molasses,bland",3.0,3
335,Trinidad and Tobago,0.68,BSC,"fatty,sweet,metal",2.75,3
336,Ecuador,0.7,BS,"powdery,floral,molasses",3.25,2
337,Dominican Republic,0.68,BSC,"gritty,sweet,brownie",2.75,3
338,Guatemala,0.7,BSC,"roast,under refined",3.0,3
339,Bolivia,0.7,BSC,"dirt,earth,floral",2.5,3
340,Ecuador,0.72,BSC,"floral,mild citrus,orange",3.5,3
341,Trinidad and Tobago,0.72,BSC,"high roast,coffee,spicy",3.25,3
342,Belize,0.72,BSC,"roast,fruit,mild metal",3.25,3
343,Multiple Countries,0.72,BSC,"coffee,high roast,spicy",3.25,3
344,Ecuador,0.6,BSC,"sweet,sour dairy",2.5,3
345,Ecuador,0.7,BS,"smoke,sour",3.0,2
346,Philippines,0.7,BS*,"base cocoa , palm note",3.5,2
347,Taiwan,0.7,BS*,"molasses,sour note",3.25,2
348,Bolivia,0.7,BSCL,subtle but refreshing,3.75,4
349,Guatemala,0.7,BSCL,"vegetal,unique",3.5,4
350,Guatemala,0.7,BSCL,"off pungent,grass,melon",3.0,4
351,Puerto Rico (United States Territory),0.7,BS,"dirt,floral,sweet",2.5,2
352,Dominican Republic,0.75,BS,"creamy,burnt wood",2.75,2
353,Dominican Republic,0.75,BS,"oily,butter,intense",2.5,2
354,Venezuela,0.75,BS,"overly roasted,bitter,nut",2.25,2
355,Peru,0.75,BS,"roast,almost burnt,intense",2.5,2
356,Mexico,0.66,BSCVL,"creamy,wood,cocoa",3.0,5
357,Venezuela,0.72,BSCVL,"sandy,dairy,cocoa",2.0,5
358,Tanzania,0.75,BSCVL,"dry,flat flavor,astringent",2.0,5
359,Dominican Republic,0.7,BSCVL,"spice,fruit medley,roast",3.0,5
360,Haiti,0.65,BSCVL,"gritty,sweet,citrus",3.5,5
361,Colombia,0.72,BS,"light color,creamy,hazelnut",3.75,2
362,Colombia,0.72,BS,"light color,dirt,astringent",3.0,2
363,Colombia,0.72,BS,"light color,dirt,musty",2.5,2
364,Venezuela,0.7,BS,"fruit,nut,brownie",3.75,2
365,Venezuela,0.75,BS,"bright fruit,strawberry",3.5,2
366,Venezuela,0.74,BS,"nut,intense,leather",3.25,2
367,Venezuela,0.75,BS,"intense,earth,fuel",2.5,2
368,Venezuela,0.77,BS,"assertive,fruit,acidic",3.5,2
369,Venezuela,0.74,BS,"intense,black licorice,nut",3.25,2
370,Venezuela,0.75,BS,"spicy,nut,ends sour",3.25,2
371,Venezuela,0.75,BS,"sandy,chalky,earth",2.75,2
372,Venezuela,0.7,BS,"raspberry,dirt,sour",3.0,2
373,Venezuela,0.75,BS,"high astringent,sandy,grass",2.5,2
374,Venezuela,0.7,BS,"poor texture,earth",3.0,2
375,Colombia,0.64,BSCL,"intense,marshmallow,fruit",3.5,4
376,Colombia,0.7,BSCL,"earth,wood,smoke",3.5,4
377,Colombia,0.7,BSCL,"intense,spice",3.25,4
378,Colombia,0.69,BSCL,"green,vegetal,soil,fuel",2.75,4
379,Colombia,0.72,BSC,"rich,nut,acidic",3.75,3
380,Colombia,0.71,BSC,"distinct,short,dried fruit",3.75,3
381,Colombia,0.74,BSC,"mild cocoa,astringent",3.75,3
382,Honduras,0.7,BSCL,"deep cocoa,fatty,dairy",3.5,4
383,Dominican Republic,0.66,BS,"creamy,blueberry,black pepper",3.75,2
384,Dominican Republic,0.65,BS,"rustic,gritty,sweet,fruit",3.25,2
385,Dominican Republic,0.72,BS,"rustic,sweet,one dimensional",3.0,2
386,Dominican Republic,0.72,BS,"oily,cherry,rich cocoa",3.75,2
387,Mexico,0.7,BSCL,distinct lemon,4.0,4
388,Mexico,0.7,BSCL,"creamy,nut,banana,rich",4.0,4
389,Papua New Guinea,0.71,BSCL,"creamy,mild spice,cocoa",4.0,4
390,Ecuador,0.71,BSCL,"creamy,mild spice,hazelnut",3.75,4
391,Madagascar,0.71,BSCL,"creamy,earth,dark roast",3.5,4
392,Venezuela,0.71,BSCL,"gritty,fudge,nut",3.5,4
393,Venezuela,0.77,BSCL,"intense,roast,rich cocoa",3.5,4
394,Grenada,0.71,BSCL,"silky,""andes"" mint,off nut",3.25,4
395,Republic of the Congo,0.7,BSCL,"rich,cherry,acidic",3.5,4
396,Ecuador,0.72,BSCV,"cocoa base,sweet,earth",3.0,4
397,Dominican Republic,0.72,BSCV,"cocoa butter dominant,cocoa",2.75,4
398,Peru,0.72,BSCV,"intense,sweet,vanilla dominant",2.75,4
399,Vietnam,0.7,BS,"balanced,dairy,spicy",3.5,2
400,Peru,0.7,BS,"dried fruit,sour,nutella",3.25,2
401,Madagascar,0.7,BS,"sour milk,off,late tart",3.0,2
405,Peru,0.7,BS,"ripe grape,very acidic",3.0,2
406,Peru,0.7,BS,"gritty,molasses",3.25,2
407,Ecuador,0.63,BSCL,"sandy,sweet,bold citrus",3.5,4
408,Ecuador,0.71,BSCL,"dry,spicy,fruit",3.5,4
409,Ecuador,0.82,BSCL,"cloying,fatty,bitter",2.5,4
410,Ecuador,0.91,BSCL,"clingy,hint of fruit,very bitter",1.5,4
413,Trinidad and Tobago,0.7,BS,"burnt coffee,fatty",2.5,2
